City,State,State Code,Longitude,Latitude,City Population Density,City Population,State Population,Population Proportion-City in State,State GDP,State GDP Per Capita,NBA Team,NFL Team,NHL Team,MLB Team,MLS Team,Predicted Success Index
Riverside,California,CA,-117.374,33.983,1498.0,314998.0,39538223.0,0.7966923551420103,3132800.6,79.23473444924421,0,0,0,0,0,7.4887808544237835
Roseville,California,CA,-121.288,38.752,1294.0,147773.0,39538223.0,0.3737471964787087,3132800.6,79.23473444924421,0,0,0,0,0,7.463226122734788
Moreno Valley,California,CA,-117.229,33.936,1570.0,208634.0,39538223.0,0.5276767243687204,3132800.6,79.23473444924421,0,0,0,0,0,7.453980778528903
Corpus Christi,Texas,TX,-97.395,27.797,760.0,317863.0,29145505.0,1.090607282323638,1843802.7,63.26199185774959,0,0,0,0,0,7.449365054282973
Lubbock,Texas,TX,-101.846,33.585,740.0,257141.0,29145505.0,0.8822664078045654,1843802.7,63.26199185774959,0,0,0,0,0,7.446537917077505
Scottsdale,Arizona,AZ,-111.926,33.495,507.0,241361.0,7151502.0,3.3749693421046376,370119.1,51.75403712394962,0,0,0,0,0,7.446313221184729
Antioch,California,CA,-121.806,38.005,1524.0,115291.0,39538223.0,0.2915937825531511,3132800.6,79.23473444924421,0,0,0,0,0,7.440251197509841
Concord,California,CA,-122.034,37.977,1582.0,125410.0,39538223.0,0.3171867385137668,3132800.6,79.23473444924421,0,0,0,0,0,7.417861912224753
Vallejo,California,CA,-122.255,38.101,1602.0,126090.0,39538223.0,0.3189065932477541,3132800.6,79.23473444924421,0,0,0,0,0,7.40346347923688
Rialto,California,CA,-117.37,34.099,1666.0,104026.0,39538223.0,0.2631023655261391,3132800.6,79.23473444924421,0,0,0,0,0,7.403050592358003
Rancho Cucamonga,California,CA,-117.594,34.107,1680.0,174453.0,39538223.0,0.4412262028063325,3132800.6,79.23473444924421,0,0,0,0,0,7.392184060545571
Ventura,California,CA,-119.301,34.281,1953.0,110763.0,39538223.0,0.2801415733833056,3132800.6,79.23473444924421,0,0,0,0,0,7.383069773982784
Santa Rosa,California,CA,-122.713,38.44,1618.0,178127.0,39538223.0,0.450518476766141,3132800.6,79.23473444924421,0,0,0,0,0,7.368533455883785
Elizabeth,New Jersey,NJ,-74.215,40.665,4310.0,137298.0,9288994.0,1.4780717911971952,634783.6,68.33717407934594,0,0,0,0,0,7.344134684843527
Irvine,California,CA,-117.796,33.684,1810.0,307670.0,39538223.0,0.7781583911851577,3132800.6,79.23473444924421,0,0,0,0,0,7.317202645779659
Amarillo,Texas,TX,-101.836,35.207,756.0,200393.0,29145505.0,0.6875605689453657,1843802.7,63.26199185774959,0,0,0,0,0,7.310666668794776
Wichita Falls,Texas,TX,-98.492,33.912,549.0,102316.0,29145505.0,0.3510524178599753,1843802.7,63.26199185774959,0,0,0,0,0,7.27320067997539
Waco,Texas,TX,-97.132,31.557,603.0,138486.0,29145505.0,0.475153887366165,1843802.7,63.26199185774959,0,0,0,0,0,7.271031801431501
Lexington,Kentucky,KY,-84.498,38.047,439.0,322570.0,4505836.0,7.158937875235584,215398.9,47.80442519434795,0,0,0,0,0,7.262641849217996
Elk Grove,California,CA,-121.371,38.409,1619.0,176124.0,39538223.0,0.4454524928952927,3132800.6,79.23473444924421,0,0,0,0,0,7.242949844143891
Fontana,California,CA,-117.436,34.101,1867.0,208393.0,39538223.0,0.5270671876174101,3132800.6,79.23473444924421,0,0,0,0,0,7.223712753765312
Pueblo,Colorado,CO,-104.624,38.256,780.0,111876.0,5773714.0,1.9376782431550992,392986.0,68.06468072370748,0,0,0,0,0,7.222607960158335
Columbia,South Carolina,SC,-81.034,34.001,386.0,136632.0,5118425.0,2.6694149079062406,247543.8,48.36327581238369,0,0,0,0,0,7.210629246422324
Charleston,South Carolina,SC,-79.931,32.776,505.0,150227.0,5118425.0,2.935023957565071,247543.8,48.36327581238369,0,0,0,0,0,7.197299567512991
North Charleston,South Carolina,SC,-79.974,32.854,570.0,114852.0,5118425.0,2.2438933851721963,247543.8,48.36327581238369,0,0,0,0,0,7.189183255916149
Denton,Texas,TX,-97.132,33.215,560.0,139869.0,29145505.0,0.4798990444667196,1843802.7,63.26199185774959,0,0,0,0,0,7.185231224117917
Clovis,California,CA,-119.7,36.825,1826.0,120124.0,39538223.0,0.3038173971551529,3132800.6,79.23473444924421,0,0,0,0,0,7.175845840205513
Orange,California,CA,-117.853,33.788,2102.0,139911.0,39538223.0,0.3538626407160484,3132800.6,79.23473444924421,0,0,0,0,0,7.175773701080184
Chula Vista,California,CA,-117.082,32.64,2144.0,275487.0,39538223.0,0.696761207502927,3132800.6,79.23473444924421,0,0,0,0,0,7.151107744231312
Des Moines,Iowa,IA,-93.626,41.587,937.0,214133.0,3271616.0,6.545175228388661,194658.1,59.49906712768247,0,0,0,0,0,7.142766248515581
Greeley,Colorado,CO,-104.694,40.425,859.0,108795.0,5773714.0,1.884315710823224,392986.0,68.06468072370748,0,0,0,0,0,7.125554602338333
Killeen,Texas,TX,-97.73,31.117,1079.0,153095.0,29145505.0,0.525278254742884,1843802.7,63.26199185774959,0,0,0,0,0,7.124657642983038
Round Rock,Texas,TX,-97.679,30.509,1227.0,119468.0,29145505.0,0.4099019728771211,1843802.7,63.26199185774959,0,0,0,0,0,7.112118315097615
Cedar Rapids,Iowa,IA,-91.664,41.978,740.0,137710.0,3271616.0,4.209234824624895,194658.1,59.49906712768247,0,0,0,0,0,7.1102312781080945
Fresno,California,CA,-119.789,36.737,1817.0,542107.0,39538223.0,1.371096015114286,3132800.6,79.23473444924421,0,0,0,0,0,7.1069215625393936
Fort Collins,Colorado,CO,-105.077,40.587,1146.0,169810.0,5773714.0,2.9410878335851067,392986.0,68.06468072370748,0,0,0,0,0,7.104234042455487
College Station,Texas,TX,-96.335,30.628,909.0,120511.0,29145505.0,0.413480569302196,1843802.7,63.26199185774959,0,0,0,0,0,7.101765665625019
Modesto,California,CA,-120.997,37.639,1962.0,218464.0,39538223.0,0.5525387420673914,3132800.6,79.23473444924421,0,0,0,0,0,7.09695549113298
Beaumont,Texas,TX,-94.098,30.082,539.0,115282.0,29145505.0,0.3955395523254786,1843802.7,63.26199185774959,0,0,0,0,0,7.0955942441902
Santa Ana,California,CA,-117.868,33.745,4388.0,310227.0,39538223.0,0.7846255508245781,3132800.6,79.23473444924421,0,0,0,0,0,7.088184916000832
Aurora,Colorado,CO,-104.847,39.726,932.0,386261.0,5773714.0,6.68999191854671,392986.0,68.06468072370748,0,0,0,0,0,7.087529558830914
Allentown,Pennsylvania,PA,-75.472,40.602,2760.0,125845.0,13002700.0,0.9678374491451776,808737.5,62.197658947757006,0,0,0,0,0,7.082983645735176
Lakewood,Colorado,CO,-105.081,39.705,1385.0,155984.0,5773714.0,2.70162325324739,392986.0,68.06468072370748,0,0,0,0,0,7.0753781302829015
League City,Texas,TX,-95.095,29.508,860.0,114392.0,29145505.0,0.3924859082043697,1843802.7,63.26199185774959,0,0,0,0,0,7.072528871968284
Arvada,Colorado,CO,-105.081,39.802,1235.0,124402.0,5773714.0,2.154626987065864,392986.0,68.06468072370748,0,0,0,0,0,7.06529097045555
Fort Wayne,Indiana,IN,-85.14,41.08,920.0,263886.0,6785528.0,3.888953077785546,379684.1,55.95498242730705,0,0,0,0,0,7.064223625793583
Madison,Wisconsin,WI,-89.383,43.074,1310.0,269840.0,5893718.0,4.578434190438022,349416.5,59.28626038775524,0,0,0,0,0,7.059996524977747
New Haven,Connecticut,CT,-72.931,41.313,2767.0,134023.0,3605944.0,3.716724386180152,287822.2,79.81882136827416,0,0,0,0,0,7.059620651204552
Pasadena,California,CA,-118.143,34.148,2330.0,138699.0,39538223.0,0.3507972525725296,3132800.6,79.23473444924421,0,0,0,0,0,7.05862878415715
Kansas City,Kansas,KS,-94.627,39.116,485.0,156607.0,2937880.0,5.330612550546652,176493.1,60.07498604435852,0,0,0,0,0,7.057830597441772
Thornton,Colorado,CO,-104.972,39.871,1526.0,141867.0,5773714.0,2.4571185895248706,392986.0,68.06468072370748,0,0,0,0,0,7.054590554051127
Stockton,California,CA,-121.293,37.955,1992.0,320804.0,39538223.0,0.8113768795324969,3132800.6,79.23473444924421,0,0,0,0,0,7.054389543685373
